01.2508,,4500493,AC ROLCAR,1891,1
01.2509,,4500492,AC ROLCAR,1891,0
01.2524,,3800191,AC ROLCAR,1327,0
01.2525,,2700182,AC ROLCAR,1261,0
01.2529,,3800182,AC ROLCAR,3594,0
01.2530,,504173866,AC ROLCAR,1930,7
01.2531,,504173868,AC ROLCAR,1930,4
01.2532,,5801901052,AC ROLCAR,1997,0
01.2533,,5801901053,AC ROLCAR,1997,0
01.2606,,2997195,AC ROLCAR,2027,0
01.2607,,2997196,AC ROLCAR,1958,1
01.2608,,2997195,AC ROLCAR,1141,2
01.2609,,2997196,AC ROLCAR,1141,0
01.3102,,1366850,AC ROLCAR,3421,0
01.3103,,1366849,AC ROLCAR,2281,0
01.3106,,81626456054,AC ROLCAR,2482,0
01.3107,,81626456055,AC ROLCAR,2482,0
01.3108,,1366850,AC ROLCAR,1991,0
01.3109,,1366849,AC ROLCAR,1991,0
01.3112,,81626456054,AC ROLCAR,7259,0
01.3113,,81626456055,AC ROLCAR,7258,1
01.4392,,9737200446,AC ROLCAR,2572,0
01.4393,,9737200346,AC ROLCAR,2790,3
01.4978,,1918144,AC ROLCAR,1121,0
01.4979,,1918143,AC ROLCAR,1121,0
01.4980,,1354703,AC ROLCAR,2571,1
01.4981,,1354702,AC ROLCAR,2571,0
01.4982,,1354703,AC ROLCAR,1618,0
01.4983,,1354702,AC ROLCAR,1050,0
01.4984,,1374569,AC ROLCAR,1555,0
01.4985,,1374568,AC ROLCAR,1555,0
01.4986,,5010301994,AC ROLCAR,2146,3
01.4987,,5010301993,AC ROLCAR,2146,0
01.4988,,1374569,AC ROLCAR,1083,0
01.4989,,1374568,AC ROLCAR,1083,0
01.4990,,1918146,AC ROLCAR,1050,2
01.4991,,1918145,AC ROLCAR,1050,5
01.4994,,1779722,AC ROLCAR,3456,3
01.4995,,1779721,AC ROLCAR,3577,2
01.5536,,5010468940,AC ROLCAR,2561,0
01.8342,,9607201646,AC ROLCAR,2032,1
01.8343,,9607201746,AC ROLCAR,2032,4
01.8472,,1881915,AC ROLCAR,4262,1
01.8473,,1881914,AC ROLCAR,4411,0
01.8490,,1881915,AC ROLCAR,2281,0
01.8491,,1881914,AC ROLCAR,2364,6
01.8560,,5010301994,AC ROLCAR,1555,0
01.8561,,5010301993,AC ROLCAR,1555,1
03.2616,,98407741,AC ROLCAR,709,1
03.2617,,98407744,AC ROLCAR,709,2
03.4303,,9417200446,AC ROLCAR,847,0
10086100,,1320372,AJUSA,719,25
10130200,,5010295726,AJUSA,245,16
11081909,,5000678440,AJUSA,72,3
201530,,2D0513029N,AL-KO,927,2
203183,,2E0513029,AL-KO,1136,0
303250,,2E0413023AH,AL-KO,1442,5
900047,,0053263900,AL-KO,1692,0
900078,,1370267,AL-KO,2379,23
900079,,1371448,AL-KO,2189,7
900082,,1397523,AL-KO,2365,32
900091,,20532767,AL-KO,1981,26
900094,,1598106,AL-KO,2161,14
900098,,1076717,AL-KO,2196,3
900104,,8404174,AL-KO,1576,9
900131,,1629482,AL-KO,2446,11
900136,,1629480,AL-KO,2062,14
900221,,1283726,AL-KO,2138,0
900222,,1282623,AL-KO,2056,8
900252,,2376007001,AL-KO,2001,58
900253,,2376007101,AL-KO,2001,37
900254,,2376007201,AL-KO,2056,2
900260,,0237021900,AL-KO,1646,11
900278,,1398694,AL-KO,2306,46
900282,,1450885,AL-KO,1999,49
900283,,20374543,AL-KO,2444,17
900288,,5010383685,AL-KO,2347,8
900295,,81437026100,AL-KO,2203,48
900999,,2376001002,AL-KO,2032,3
920542,,81437026011,AL-KO,1757,22
920565,,81437026058,AL-KO,1730,66
940053,,4859825,AL-KO,1933,1
940116,,0063232700,AL-KO,1847,1
9550,,001110000000080000,AL-KO,2001,237
9551,,001110000000084000,AL-KO,2080,33
9552,,001110000000092000,AL-KO,2282,15
9560,,001110000000136000,AL-KO,2001,146
9562,,1061555,AL-KO,2049,0
990154,,0237027000,AL-KO,1814,0
990155,,0237029200,AL-KO,1714,35
990157,,0237021400,AL-KO,1723,12
990158,,21711001,AL-KO,2011,6
990160,,2376001001,AL-KO,2001,14
990911,,0237022200,AL-KO,1834,4
02.031,,02.031,ASMET,1347,2
02.052,,,ASMET,1538,3
02.053,,02.053,ASMET,1549,2
02.054,,9064901001,ASMET,1235,0
02.055,,02.055,ASMET,1280,1
02.056,,02.056,ASMET,1224,1
02.057,,02.057,ASMET,1269,2
02.058,,02.058,ASMET,1403,0
02.059,,02.059,ASMET,1414,1
02.060,,02.060,ASMET,1392,2
02.061,,02.061,ASMET,1403,2
02.062,,02.062,ASMET,696,2
02.063,,02.063,ASMET,853,0
02.064,,02.064,ASMET,898,0
02.065,,02.065,ASMET,809,2
02.066,,02.066,ASMET,954,0
02.067,,2E0253681F,ASMET,1112,0
04.102,,04.102,ASMET,1808,1
04.103,,04.103,ASMET,1853,2
A0192,,,AS-PL,2372,0
A6358,,1588164201,AS-PL,1521,0
ARE4018,,2253147,AS-PL,400,0
ASL9008,,,AS-PL,0,0
SBH5028,,,AS-PL,123,0
SBU9004,,,AS-PL,14,0
SBU9012,,,AS-PL,17,0
SG9020,,,AS-PL,1369,0
SS0003,,0331402035,AS-PL,1097,0
SS0007,,,AS-PL,583,0
SS1100S,,,AS-PL,954,0
SS5021,,,AS-PL,297,0
SS5046,,,AS-PL,0,0
31-2067-107,312067107,,ASPOCK,335,0
A12-1527-004,A121527004,,ASPOCK,874,3
A12-1560-001,A121560001,127552111,ASPOCK,290,7
A12-1570-001,A121570001,,ASPOCK,725,0
A12-1570-101,A121570101,,ASPOCK,725,4
A12-1574-224,A121574224,,ASPOCK,718,0
A13-0521-104,A130521104,,ASPOCK,136,0
A13-1530-004,A131530004,,ASPOCK,120,0
A13-1540-004,A131540004,,ASPOCK,272,0
A13-1722-001,A131722001,,ASPOCK,242,15
A13-1732-001,A131732001,131732001,ASPOCK,284,3
A13-5626-261,A135626261,,ASPOCK,142,9
A13-5626-271,A135626271,135626271,ASPOCK,142,5
A13-5626-284,A135626284,,ASPOCK,142,0
A13-5626-341,A135626341,135626341,ASPOCK,142,5
A13-5626-351,A135626351,135626351,ASPOCK,142,6
A13-5626-401,A135626401,,ASPOCK,117,0
A13-5626-631,A135626631,13-5626-631,ASPOCK,178,53
A13-5626-941,A135626941,,ASPOCK,167,0
A13-5627-204,A135627204,,ASPOCK,170,0
A13-5627-224,A135627224,,ASPOCK,170,0
A15-5270-007,A155270007,A15-5270-004,ASPOCK,101,13
A15-5276-007,A155276007,1010853,ASPOCK,134,23
A15-5319-004,A155319004,,ASPOCK,45,0
A15-5624-024,A155624024,,ASPOCK,85,0
A15-5729-007,A155729007,155729007,ASPOCK,22,0
A15-5971-007,A155971007,A15-5971-014,ASPOCK,9,16
A17-7952-127,A177952127,,ASPOCK,6556,0
A18-8135-504,A188135504,098291221,ASPOCK,108,2
A18-8136-004,A188136004,18-8136-004,ASPOCK,97,12
A18-8136-007,A188136007,A18-8136-007,ASPOCK,88,0
A18-8141-004,A188141004,,ASPOCK,137,0
A18-8382-104,A188382104,,ASPOCK,190,0
A18-8457-131,A188457131,188457131,ASPOCK,311,0
A18-8457-137,A188457137,18-8457-137,ASPOCK,311,0
A18-8458-131,A188458131,188458131,ASPOCK,341,11
A18-8470-007,A188470007,188470007,ASPOCK,290,7
A18-8480-007,A188480007,,ASPOCK,219,2
A18-8520-000,A188520000,188520000,ASPOCK,0,0
A18-8520-002,A188520002,A18-8520-002,ASPOCK,455,0
A18-8522-000,A188522000,188522000,ASPOCK,0,0
A18-8522-002,A188522002,A18-8522-002,ASPOCK,455,2
A18-8528-002,A188528002,188528002,ASPOCK,500,20
A18-8528-502,A188528502,18-8528-502,ASPOCK,1143,0
A18-8529-002,A188529002,188529002,ASPOCK,500,63
