1.2508,4500493,ACR,1891.2,1,,
1.2509,4500492,ACR,1891.2,0,,
1.2524,3800191,ACR,1327.2,0,,
1.2525,2700182,ACR,1260.96,0,,
1.2529,3800182,ACR,3593.76,0,,
1.253,504173866,ACR,1929.6,7,,
1.2531,504173868,ACR,1929.6,4,,
1.2532,5801901052,ACR,1997.28,0,,
1.2533,5801901053,ACR,1997.28,0,,
1.2606,2997195,ACR,2026.56,0,,
1.2607,2997196,ACR,1958.4,1,,
1.2608,2997195,ACR,1141.44,2,,
1.2609,2997196,ACR,1141.44,0,,
1.3102,1366850,ACR,3421.44,0,,
1.3103,1366849,ACR,2280.96,0,,
1.3106,81626456054,ACR,2482.08,0,,
1.3107,81626456055,ACR,2482.08,0,,
1.3108,1366850,ACR,1990.56,0,,
1.3109,1366849,ACR,1990.56,0,,
1.3112,81626456054,ACR,7258.56,0,,
1.3113,81626456055,ACR,7257.6,1,,
1.4392,9737200446,ACR,2571.84,0,,
1.4393,9737200346,ACR,2790.24,3,,
1.4978,1918144,ACR,1120.8,0,,
1.4979,1918143,ACR,1120.8,0,,
1.498,1354703,ACR,2571.36,1,,
1.4981,1354702,ACR,2571.36,0,,
1.4982,1354703,ACR,1617.6,0,,
1.4983,1354702,ACR,1049.76,0,,
1.4984,1374569,ACR,1555.2,0,,
1.4985,1374568,ACR,1555.2,0,,
1.4986,5010301994,ACR,2146.08,3,,
1.4987,5010301993,ACR,2146.08,0,,
1.4988,1374569,ACR,1082.88,0,,
1.4989,1374568,ACR,1082.88,0,,
1.499,1918146,ACR,1049.76,2,,
1.4991,1918145,ACR,1049.76,5,,
1.4994,1779722,ACR,3456,3,,
1.4995,1779721,ACR,3576.96,2,,
1.5536,5010468940,ACR,2560.8,0,,
1.8342,9607201646,ACR,2032.32,1,,
1.8343,9607201746,ACR,2032.32,4,,
1.8472,1881915,ACR,4262.4,1,,
1.8473,1881914,ACR,4411.2,0,,
1.849,1881915,ACR,2280.96,0,,
1.8491,1881914,ACR,2364,6,,
1.856,5010301994,ACR,1555.2,0,,
1.8561,5010301993,ACR,1555.2,1,,
3.2616,98407741,ACR,708.96,1,,
3.2617,98407744,ACR,708.96,2,,
3.4303,9417200446,ACR,846.72,0,,
10086100,1320372,AJUSA,719.28,25,,
10130200,5010295726,AJUSA,244.62,16,,
11081909,5000678440,AJUSA,71.82,3,,
201530,2D0513029N,ALKO,927.36,2,,
203183,2E0513029,ALKO,1135.68,0,,
303250,2E0413023AH,ALKO,1442.28,5,,
900047,53263900,ALKO,1692.18,0,,
900078,1370267,ALKO,2378.88,23,,
900079,1371448,ALKO,2189.04,7,,
900082,1397523,ALKO,2365.44,32,,
900091,20532767,ALKO,1980.72,26,,
900094,1598106,ALKO,2161.32,14,,
900098,1076717,ALKO,2196.18,3,,
900104,8404174,ALKO,1576.26,9,,
900131,1629482,ALKO,2445.66,11,,
900136,1629480,ALKO,2062.2,14,,
900221,1283726,ALKO,2137.8,0,,
900222,1282623,ALKO,2056.32,8,,
900252,2376007001,ALKO,2000.88,58,,
900253,2376007101,ALKO,2000.88,37,,
900254,2376007201,ALKO,2056.32,2,,
900260,237021900,ALKO,1645.56,11,,
900278,1398694,ALKO,2306.22,46,,
900282,1450885,ALKO,1998.78,49,,
900283,20374543,ALKO,2444.4,17,,
900288,5010383685,ALKO,2346.96,8,,
900295,81437026100,ALKO,2202.9,48,,
900999,2376001002,ALKO,2031.96,3,,
920542,81437026011,ALKO,1756.86,22,,
920565,81437026058,ALKO,1730.4,66,,
940053,4859825,ALKO,1932.84,1,,
940116,63232700,ALKO,1846.74,1,,
9550,1.11E+15,ALKO,2000.88,237,,
9551,1.11E+15,ALKO,2080.26,33,,
9552,1.11E+15,ALKO,2282.28,15,,
9560,1.11E+15,ALKO,2000.88,146,,
